roster,row,name,primary_source_url,http_status,reviewed_at,status,seed_slug,review_note
platforms-investors-labs.csv,2,Google DeepMind,https://deepmind.google/about/,reviewed via browser or subsequent source,2026-09-11,seeded,google-deepmind,Robotics role confirmed; merged by canonical name or explicit alias.
platforms-investors-labs.csv,3,Intrinsic,https://x.company/projects/intrinsic/,200,2026-09-11,seeded,intrinsic,Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ.
platforms-investors-labs.csv,4,X Development (Alphabet X),https://x.company/projects/intrinsic/,200,2026-09-11,seeded,x-development-alphabet-x,"Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ, founding year."
platforms-investors-labs.csv,5,Wing,https://wing.com/news/flytrex-wing-strategic-flight-coordination,200,2026-09-11,seeded,wing,Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ.
platforms-investors-labs.csv,6,CapitalG,https://www.capitalg.com/portfolio,200,2026-09-11,seeded,capitalg,"Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ, founding year."
platforms-investors-labs.csv,7,Apple,https://machinelearning.apple.com/research/elegnt-expressive-functional-movement,200,2026-09-11,seeded,apple,Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: founding year.
platforms-investors-labs.csv,8,Zoox,https://zoox.com/journal/10-years-of-building-zoox,reviewed via browser or subsequent source,2026-09-11,seeded,zoox,Robotics role confirmed; merged by canonical name or explicit alias.
platforms-investors-labs.csv,9,Covariant,https://www.aboutamazon.com/news/company-news/amazon-covariant-ai-robots,200,2026-09-11,seeded,covariant,Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ.
platforms-investors-labs.csv,10,Amazon Industrial Innovation Fund,https://www.aboutamazon.com/what-we-do/amazon-industrial-innovation-fund,404,2026-09-11,pending,,"Primary URL reviewed; retrieval failed or returned HTTP 404. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,11,Motional,https://motional.com/,200,2026-09-11,seeded,motional,Robotics role confirmed; merged by canonical name or explicit alias. Parent name reconciled to documented canonical affiliation.
platforms-investors-labs.csv,12,Robotics and AI Institute (RAI Institute),https://rai-inst.com/about/,200,2026-09-11,seeded,robotics-and-ai-institute-rai-institute,Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ. Parent edge pending: primary or credible third-party control evidence and date need confirmation.
platforms-investors-labs.csv,13,Rainbow Robotics,https://news.samsung.com/global/samsung-electronics-to-become-largest-shareholder-in-rainbow-robotics-accelerating-future-robot-development,200,2026-09-11,seeded,rainbow-robotics,"Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ, founding year."
platforms-investors-labs.csv,14,Samsung NEXT,https://www.samsungnext.com/,200,2026-09-11,pending,,"Primary URL reviewed; accessible content did not establish the proposed robotics role. Further primary product, portfolio or corporate evidence is needed."
platforms-investors-labs.csv,15,Woven by Toyota,https://woven.toyota/en/company/,200,2026-09-11,seeded,woven-by-toyota,Robotics role confirmed; merged by canonical name or explicit alias.
platforms-investors-labs.csv,16,Honda Motor,https://global.honda/en/robotics/,200,2026-09-11,seeded,honda-motor,Robotics role confirmed; merged by canonical name or explicit alias.
platforms-investors-labs.csv,17,Sony Group,https://www.sony.com/en/SonyInfo/technology/stories/entries/Sony_AI/,reviewed via browser or subsequent source,2026-09-11,seeded,sony-group,Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ.
platforms-investors-labs.csv,18,Sony AI,https://ai.sony/,200,2026-09-11,seeded,sony-ai,"Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ, founding year."
platforms-investors-labs.csv,19,SoftBank Group,https://group.softbank/en/news/press/20251008,200,2026-09-11,seeded,softbank-group,Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ.
platforms-investors-labs.csv,20,SoftBank Robotics Group,https://www.softbankrobotics.com/profile/,reviewed via browser or subsequent source,2026-09-11,seeded,softbank-robotics-group,Robotics role confirmed; merged by canonical name or explicit alias.
platforms-investors-labs.csv,21,Berkshire Grey,https://group.softbank/en/news/press/20251008,200,2026-09-11,seeded,berkshire-grey,"Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ, founding year."
platforms-investors-labs.csv,22,Agile Robots,https://www.agile-robots.com/,200,2026-09-11,seeded,agile-robots,Robotics role confirmed; merged by canonical name or explicit alias. SoftBank is an investor; primary evidence reviewed does not establish parent control.
platforms-investors-labs.csv,23,Hon Hai Technology Group (Foxconn),https://www.honhai.com/en-us/press-center/press-releases/latest-news/1975,200,2026-09-11,seeded,foxconn,Robotics role confirmed; merged by canonical name or explicit alias.
platforms-investors-labs.csv,24,LG Electronics,https://www.lg.com/es/acerca-de-lg/comunicados-de-prensa/lg-adquiere-una-participacion-mayoritaria-de-bear-robotics-para-/,reviewed via browser or subsequent source,2026-09-11,seeded,lg-electronics,Robotics role confirmed; merged by canonical name or explicit alias.
platforms-investors-labs.csv,25,LG Technology Ventures,https://www.figure.ai/news/series-c,200,2026-09-11,seeded,lg-technology-ventures,"Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ, founding year. Parent edge pending: primary or credible third-party control evidence and date need confirmation. Primary company material describes an LG Group venture arm; an LG Electronics parent is not established."
platforms-investors-labs.csv,26,Hanwha Robotics,https://www.hanwha.com/companies/hanwha-robotics.do,200,2026-09-11,seeded,hanwha-robotics,Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ. Parent edge pending: primary or credible third-party control evidence and date need confirmation.
platforms-investors-labs.csv,27,HD Hyundai Robotics,https://hd-hyundairobotics.com/en/company/history,200,2026-09-11,seeded,hd-hyundai-robotics,Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: founding year.
platforms-investors-labs.csv,28,HD Hyundai,https://esg.hd.com/en/news/949,reviewed via browser or subsequent source,2026-09-11,seeded,hd-hyundai,"Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ, founding year."
platforms-investors-labs.csv,29,Naver,https://www.naverlabs.com/en/,200,2026-09-11,seeded,naver,"Robotics role confirmed; merged by canonical name or explicit alias. Metadata pending: independent confirmation of provisional HQ, founding year."
